id_venta,id_cliente,producto,categoria,unidades,precio_unitario,ciudad,fecha
1,377,Patatas,Comida,5,2.88,Madrid,2026-01-29
2,228,Patatas,Comida,5,1.97,Bilbao,2026-04-15
3,348,Hamburguesa,Comida,6,7.96,Madrid,2026-03-21
4,201,Patatas,Comida,1,11.59,Madrid,2026-01-05
5,308,Agua,Bebida,4,1.82,Sevilla,2026-06-18
6,330,Patatas,Comida,6,9.33,Bilbao,2026-05-15
7,492,Pizza,Comida,3,11.14,Sevilla,2026-05-20
8,242,Cafe,Bebida,1,13.24,Bilbao,2026-03-20
9,168,Refresco,Bebida,2,8.99,Bilbao,2026-02-23
10,388,Patatas,Comida,5,1.47,Valencia,2026-05-13
11,323,Cafe,Bebida,6,7.09,Bilbao,2026-02-21
12,443,Agua,Bebida,3,3.53,Valencia,2026-01-29
13,94,Hamburguesa,Comida,1,9.18,Madrid,2026-06-08
14,57,Cafe,Bebida,4,7.59,Valencia,2026-02-23
15,168,Cafe,Bebida,1,7.13,Sevilla,2026-06-17
16,31,Refresco,Bebida,6,2.57,Valencia,2026-05-22
17,91,Cafe,Bebida,6,1.46,Madrid,2026-04-06
18,150,Cafe,Bebida,3,1.97,Valencia,2026-01-25
19,15,Hamburguesa,Comida,4,10.72,Sevilla,2026-03-25
20,135,Hamburguesa,Comida,2,7.23,Madrid,2026-05-30
21,282,Agua,Bebida,2,7.13,Madrid,2026-05-02
22,91,Pizza,Comida,1,2.11,Valencia,2026-06-13
23,122,Patatas,Comida,3,3.89,Sevilla,2026-04-17
24,167,Agua,Bebida,1,7.09,Bilbao,2026-02-14
25,296,Hamburguesa,Comida,6,2.58,Valencia,2026-05-22
26,160,Pizza,Comida,2,5.91,Sevilla,2026-01-10
27,365,Cafe,Bebida,1,12.19,Madrid,2026-04-02
28,78,Pizza,Comida,6,12.07,Bilbao,2026-04-04
29,373,Ensalada,Comida,2,3.09,Valencia,2026-01-09
30,250,Patatas,Comida,6,10.95,Bilbao,2026-03-18
31,281,Refresco,Bebida,2,8.91,Madrid,2026-04-07
32,190,Hamburguesa,Comida,2,14.12,Valencia,2026-02-28
33,419,Hamburguesa,Comida,3,7.5,Bilbao,2026-05-03
34,124,Refresco,Bebida,5,5.87,Valencia,2026-02-18
35,473,Pizza,Comida,6,9.12,Sevilla,2026-02-03
36,1,Ensalada,Comida,2,8.21,Sevilla,2026-01-31
37,201,Ensalada,Comida,2,14.61,Sevilla,2026-06-09
38,423,Pizza,Comida,3,14.12,Sevilla,2026-05-09
39,152,Hamburguesa,Comida,4,6.55,Bilbao,2026-05-15
40,289,Cafe,Bebida,4,12.81,Madrid,2026-06-02
41,396,Ensalada,Comida,2,6.73,Sevilla,2026-04-28
42,104,Patatas,Comida,1,5.63,Valencia,2026-03-12
43,481,Refresco,Bebida,2,3.98,Valencia,2026-06-03
44,244,Hamburguesa,Comida,4,7.74,Valencia,2026-03-25
45,310,Refresco,Bebida,6,6.99,Sevilla,2026-03-10
46,159,Hamburguesa,Comida,1,9.95,Sevilla,2026-02-28
47,155,Patatas,Comida,5,10.43,Valencia,2026-03-18
48,322,Patatas,Comida,6,1.27,Sevilla,2026-03-08
49,227,Refresco,Bebida,6,4.95,Valencia,2026-02-22
50,467,Refresco,Bebida,3,12.32,Madrid,2026-06-17
51,452,Hamburguesa,Comida,1,12.83,Valencia,2026-06-30
52,139,Hamburguesa,Comida,5,14.23,Bilbao,2026-05-20
53,497,Hamburguesa,Comida,3,14.49,Sevilla,2026-06-02
54,238,Cafe,Bebida,4,9.97,Valencia,2026-05-14
55,308,Ensalada,Comida,1,2.16,Madrid,2026-02-03
56,113,Agua,Bebida,6,5.64,Bilbao,2026-05-15
57,444,Pizza,Comida,3,13.41,Bilbao,2026-02-01
58,281,Agua,Bebida,5,4.61,Valencia,2026-01-14
59,96,Agua,Bebida,2,2.28,Sevilla,2026-04-01
60,229,Refresco,Bebida,2,14.44,Madrid,2026-05-16
61,86,Ensalada,Comida,1,13.44,Valencia,2026-01-04
62,337,Ensalada,Comida,6,8.22,Valencia,2026-02-23
63,135,Pizza,Comida,3,14.22,Madrid,2026-05-30
64,470,Cafe,Bebida,4,9.18,Sevilla,2026-04-26
65,5,Patatas,Comida,3,14.9,Sevilla,2026-02-08
66,275,Agua,Bebida,6,3.94,Valencia,2026-04-10
67,148,Pizza,Comida,6,12.99,Madrid,2026-01-16
68,399,Refresco,Bebida,5,6.59,Madrid,2026-03-11
69,306,Pizza,Comida,4,12.62,Bilbao,2026-02-05
70,67,Cafe,Bebida,5,4.87,Madrid,2026-01-02
71,347,Agua,Bebida,2,12.77,Sevilla,2026-01-10
72,21,Agua,Bebida,4,7.82,Bilbao,2026-05-07
