id_venta,id_cliente,producto,categoria,unidades,precio_unitario,ciudad,fecha,importe
1,377,Patatas,Comida,5,2.88,Madrid,2026-01-29,14.399999999999999
2,228,Patatas,Comida,5,1.97,Bilbao,2026-04-15,9.85
3,348,Hamburguesa,Comida,6,7.96,Madrid,2026-03-21,47.76
4,201,Patatas,Comida,1,11.59,Madrid,2026-01-05,11.59
5,308,Agua,Bebida,4,1.82,Sevilla,2026-06-18,7.28
6,330,Patatas,Comida,6,9.33,Bilbao,2026-05-15,55.980000000000004
7,492,Pizza,Comida,3,11.14,Sevilla,2026-05-20,33.42
8,242,Cafe,Bebida,1,13.24,Bilbao,2026-03-20,13.24
9,168,Refresco,Bebida,2,8.99,Bilbao,2026-02-23,17.98
10,388,Patatas,Comida,5,1.47,Valencia,2026-05-13,7.35
11,323,Cafe,Bebida,6,7.09,Bilbao,2026-02-21,42.54
12,443,Agua,Bebida,3,3.53,Valencia,2026-01-29,10.59
13,94,Hamburguesa,Comida,1,9.18,Madrid,2026-06-08,9.18
14,57,Cafe,Bebida,4,7.59,Valencia,2026-02-23,30.36
15,168,Cafe,Bebida,1,7.13,Sevilla,2026-06-17,7.13
16,31,Refresco,Bebida,6,2.57,Valencia,2026-05-22,15.419999999999998
17,91,Cafe,Bebida,6,1.46,Madrid,2026-04-06,8.76
18,150,Cafe,Bebida,3,1.97,Valencia,2026-01-25,5.91
19,15,Hamburguesa,Comida,4,10.72,Sevilla,2026-03-25,42.88
20,135,Hamburguesa,Comida,2,7.23,Madrid,2026-05-30,14.46
21,282,Agua,Bebida,2,7.13,Madrid,2026-05-02,14.26
22,91,Pizza,Comida,1,2.11,Valencia,2026-06-13,2.11
23,122,Patatas,Comida,3,3.89,Sevilla,2026-04-17,11.67
24,167,Agua,Bebida,1,7.09,Bilbao,2026-02-14,7.09
25,296,Hamburguesa,Comida,6,2.58,Valencia,2026-05-22,15.48
26,160,Pizza,Comida,2,5.91,Sevilla,2026-01-10,11.82
27,365,Cafe,Bebida,1,12.19,Madrid,2026-04-02,12.19
28,78,Pizza,Comida,6,12.07,Bilbao,2026-04-04,72.42
29,373,Ensalada,Comida,2,3.09,Valencia,2026-01-09,6.18
30,250,Patatas,Comida,6,10.95,Bilbao,2026-03-18,65.69999999999999
31,281,Refresco,Bebida,2,8.91,Madrid,2026-04-07,17.82
32,190,Hamburguesa,Comida,2,14.12,Valencia,2026-02-28,28.24
33,419,Hamburguesa,Comida,3,7.5,Bilbao,2026-05-03,22.5
34,124,Refresco,Bebida,5,5.87,Valencia,2026-02-18,29.35
35,473,Pizza,Comida,6,9.12,Sevilla,2026-02-03,54.72
36,1,Ensalada,Comida,2,8.21,Sevilla,2026-01-31,16.42
37,201,Ensalada,Comida,2,14.61,Sevilla,2026-06-09,29.22
38,423,Pizza,Comida,3,14.12,Sevilla,2026-05-09,42.36
39,152,Hamburguesa,Comida,4,6.55,Bilbao,2026-05-15,26.2
40,289,Cafe,Bebida,4,12.81,Madrid,2026-06-02,51.24
41,396,Ensalada,Comida,2,6.73,Sevilla,2026-04-28,13.46
42,104,Patatas,Comida,1,5.63,Valencia,2026-03-12,5.63
43,481,Refresco,Bebida,2,3.98,Valencia,2026-06-03,7.96
44,244,Hamburguesa,Comida,4,7.74,Valencia,2026-03-25,30.96
45,310,Refresco,Bebida,6,6.99,Sevilla,2026-03-10,41.94
46,159,Hamburguesa,Comida,1,9.95,Sevilla,2026-02-28,9.95
47,155,Patatas,Comida,5,10.43,Valencia,2026-03-18,52.15
48,322,Patatas,Comida,6,1.27,Sevilla,2026-03-08,7.62
49,227,Refresco,Bebida,6,4.95,Valencia,2026-02-22,29.700000000000003
50,467,Refresco,Bebida,3,12.32,Madrid,2026-06-17,36.96
51,452,Hamburguesa,Comida,1,12.83,Valencia,2026-06-30,12.83
52,139,Hamburguesa,Comida,5,14.23,Bilbao,2026-05-20,71.15
53,497,Hamburguesa,Comida,3,14.49,Sevilla,2026-06-02,43.47
54,238,Cafe,Bebida,4,9.97,Valencia,2026-05-14,39.88
55,308,Ensalada,Comida,1,2.16,Madrid,2026-02-03,2.16
56,113,Agua,Bebida,6,5.64,Bilbao,2026-05-15,33.839999999999996
57,444,Pizza,Comida,3,13.41,Bilbao,2026-02-01,40.230000000000004
58,281,Agua,Bebida,5,4.61,Valencia,2026-01-14,23.05
59,96,Agua,Bebida,2,2.28,Sevilla,2026-04-01,4.56
60,229,Refresco,Bebida,2,14.44,Madrid,2026-05-16,28.88
61,86,Ensalada,Comida,1,13.44,Valencia,2026-01-04,13.44
62,337,Ensalada,Comida,6,8.22,Valencia,2026-02-23,49.32000000000001
63,135,Pizza,Comida,3,14.22,Madrid,2026-05-30,42.660000000000004
64,470,Cafe,Bebida,4,9.18,Sevilla,2026-04-26,36.72
65,5,Patatas,Comida,3,14.9,Sevilla,2026-02-08,44.7
66,275,Agua,Bebida,6,3.94,Valencia,2026-04-10,23.64
67,148,Pizza,Comida,6,12.99,Madrid,2026-01-16,77.94
68,399,Refresco,Bebida,5,6.59,Madrid,2026-03-11,32.95
69,306,Pizza,Comida,4,12.62,Bilbao,2026-02-05,50.48
70,67,Cafe,Bebida,5,4.87,Madrid,2026-01-02,24.35
71,347,Agua,Bebida,2,12.77,Sevilla,2026-01-10,25.54
72,21,Agua,Bebida,4,7.82,Bilbao,2026-05-07,31.28
73,418,Refresco,Bebida,5,5.39,Valencia,2026-05-09,26.95
74,104,Cafe,Bebida,3,6.87,Valencia,2026-01-23,20.61
75,466,Patatas,Comida,2,6.04,Sevilla,2026-01-22,12.08
76,60,Hamburguesa,Comida,2,6.02,Madrid,2026-04-07,12.04
77,468,Ensalada,Comida,4,3.19,Valencia,2026-04-03,12.76
78,221,Patatas,Comida,5,10.46,Valencia,2026-01-02,52.300000000000004
79,8,Ensalada,Comida,5,9.49,Valencia,2026-01-02,47.45
80,478,Hamburguesa,Comida,2,4.56,Bilbao,2026-01-25,9.12
81,134,Agua,Bebida,4,6.65,Valencia,2026-04-07,26.6
82,26,Refresco,Bebida,2,14.23,Sevilla,2026-03-06,28.46
83,332,Cafe,Bebida,2,12.59,Madrid,2026-03-10,25.18
84,36,Ensalada,Comida,2,6.81,Madrid,2026-04-17,13.62
85,307,Ensalada,Comida,1,4.67,Sevilla,2026-05-22,4.67
86,102,Pizza,Comida,6,3.21,Madrid,2026-02-04,19.259999999999998
87,464,Ensalada,Comida,3,14.02,Madrid,2026-02-23,42.06
